Code,Name,Brand,Description,Barcode,Supplier,Price Ex,Price In,Value,Stock
BR-W-DOMI-0007,DOMINO WARDROBE 4 DRS NAT,Sleep Comfort,DOMINO WARDROBE 4 DOORS COLOR NATALY,,Sleep Comfort s.a.l,"10,127.66 ","11,900.00 ","1,430.33 ",1
BR-W-LAMA-0001,LAMA WARDROBE 6 DRS SIENNA,Sleep Comfort,LAMA WARDROBE 6 DOORS COLOR SIENNA,,Sleep Comfort s.a.l,"12,765.96 ","15,000.00 ","2,559.75 ",4
BR-W-MADI-0001,MADISSON WARDROBE 6 DRS GRA,Sleep Comfort,MADISSON WARDROBE 6 DOORS COLOR. GRANADA,,Sleep Comfort s.a.l,"12,765.96 ","15,000.00 ","1,684.80 ",2
BR-W-TALA-0001,TALAMO WARDROBE 6 DRS QUAD,Sleep Comfort,TALAMO WARDROBE 6 DOORS COLOR QUADRILLE,,Sleep Comfort s.a.l,"11,063.83 ","13,000.00 ","1,862.06 ",2
BR-WBOX-0001,FLORA WOODEN BOX 105 X 195 CM,Sleep Comfort,FLORA WOODEN BOX 105 X 195 CM,,Sleep Comfort s.a.l,"2,127.66 ","2,500.00 ",289.28 ,36
BR-WBOX-0003,FLORA WOODEN BOX 160 X 195 CM,Sleep Comfort,FLORA WOODEN BOX 160 X 195 CM,,Sleep Comfort s.a.l,"2,978.72 ","3,500.00 ",387.15 ,18
BR-WBOX-DR-0001,FLORA BOX DRAWER 105 X 195 CM,Sleep Comfort,FLORA BOX 2 DRAWERS 105 X 195 CM,,Sleep Comfort s.a.l,"3,659.57 ","4,300.00 ",561.15 ,10
BR-WBOX-DR-0002,FLORA BOX DRAWER 120 X 195 CM,Sleep Comfort,FLORA BOX 2 DRAWERS 120 X 195 CM,,Sleep Comfort s.a.l,"3,914.89 ","4,600.00 ",600.30 ,5
DR-CH-ATHOS-0002,CHAIR ATHOS COL LAZERO,Sleep Comfort,DINING CHAIR ATHOS WOOD COLOR LAZERO FABRIC COLOR BEIGE SAND,,Sleep Comfort s.a.l,"2,553.19 ","3,000.00 ",0.00 ,2
DR-CH-ATHOS-0010,ATHOS DINING CHAIR GRA,Sleep Comfort,ATHOS DINING CHAIR WOOD GRANADA FABRIC ASPARAGUS GREEN,,Sleep Comfort s.a.l,"2,553.19 ","3,000.00 ",438.00 ,10
DR-CH-ATHOS-0014,ATHOS DINING CHAIR BERSA,Sleep Comfort,ATHOS DINING CHAIR WOOD BERSA FABRIC ROSE RED,,Sleep Comfort s.a.l,"2,553.19 ","3,000.00 ",438.00 ,10
DR-CH-ATHOS-0017,CHAIR ATHOS WOOD COL. BERSA,Sleep Comfort,CHAIR ATHOS WOOD COL. BERSA FABRIC COL. SAND DUST BEIGE,,Sleep Comfort s.a.l,"2,553.19 ","3,000.00 ",0.00 ,1
DR-CH-ATHOS-0019,CHAIR ATHOS WOOD COL. BERSA,Sleep Comfort,CHAIR ATHOS WOOD COL. BERSA FABRIC COL. SAND BEIGE,,Sleep Comfort s.a.l,"2,553.19 ","3,000.00 ",523.00 ,2
DR-CH-FLAM-0001,CHAIR FLAMINGO WZEN,Sleep Comfort,DINING CHAIR FLAMINGO WOOD COLOR WENGE ZEN FABRIC COLOR BEIGE ROMI 3,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",208.82 ,2
DR-CH-FLAM-0007,CHAIR FLAMINGO LOUIS,Sleep Comfort,DINING CHAIR FLAMINGO WOOD COLOR LOUISIANA FABRIC COLOR RED ORANGE ( BRIQUE ),,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",208.82 ,8
DR-CH-FLAM-0008,CHAIR FLAMINGO LOUIS,Sleep Comfort,DINING CHAIR FLAMINGO WOOD COLOR LOUISIANA FABRIC COLOR ORANGE,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",208.82 ,8
DR-CH-GHOST-0001,CHAIR GHOST COL LOUISIANA,Sleep Comfort,DINING CHAIR GHOST FABRIC COLOR RED WOOD COLOR LOUISIANA,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",416.26 ,8
DR-CH-GHOST-0005,CHAIR GHOST COL WZEN,Sleep Comfort,DINING CHAIR GHOST FABRIC COLOR BEIGE ROMI 3 WOOD COLOR W.ZEN,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",416.26 ,2
DR-CH-GHOST-0006,CHAIR GHOST WZEN,Sleep Comfort,DINING CHAIR GHOST FABRIC COLOR BLUE WOOD COLOR W.ZEN,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",416.26 ,8
DR-CH-MEDAILLON-0001,DINING CHAIR MEDAILLON,Sleep Comfort,DINING CHAIR MEDAILLON COL. TAUPE BEIGE FABRIC WOOD COL. AK7,,Sleep Comfort s.a.l,"3,191.49 ","3,750.00 ",777.00 ,8
DR-CH-NORA-0001,CHAIR NORA COL WZEN,Sleep Comfort,DINING CHAIR NORA WOOD COLOR WENGE ZEN FABRIC COLOR BROWN WITH LIME GREEN FLOWER PATTERNS,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",266.76 ,5
DR-CH-NORA-0003,CHAIR NORA COL WZEN,Sleep Comfort,DINING CHAIR NORA WOOD COLOR WENGE ZEN FABRIC COLOR BEIGE ROMI 3,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",266.76 ,4
DR-CH-NORA-0006,CHAIR NORA COL LOUIS,Sleep Comfort,DINING CHAIR NORA WOOD COLOR LOUISIANA FABRIC COLOR RED FLOWER PATTERN,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",266.76 ,8
DR-CH-SURF-0001,CHAIR SURF COL WZEN,Sleep Comfort,DINING CHAIR SURF WOOD COLOR WENGE FABRIC COLOR VIOLET,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",267.64 ,2
DR-CH-SURF-0004,CHAIR SURF COL LOUISIANA,Sleep Comfort,DINING CHAIR SURF FABRIC COLOR METAL BLUE WOOD COLOR LOUISIANA,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",364.50 ,4
DR-CH-SURF-0007,CHAIR SURF COL WZEN,Sleep Comfort,DINING CHAIR SURF LEATHER FABRIC COLOR MAROON WOOD COLOR W.ZEN,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",364.50 ,10
DR-CH-SURF-0010,DINING CHAIR SURF,Sleep Comfort,DINING CHAIR SURF COL. YELLOW FABRIC WOOD COL. W.NC,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",383.25 ,8
DR-SHOW-JAMA-0001,SHOWCASE JAMAICA COL WZEN,Sleep Comfort,SHOWCASE JAMAICA WOOD COLOR WENGE ZEN,,Sleep Comfort s.a.l,"17,021.28 ","20,000.00 ","1,774.31 ",1
DR-SHOW-JAMA-0002,SHOWCASE JAMAICA COL LOUIS,Sleep Comfort,SHOWCASE JAMAICA WOOD COLOR LOUISIANA,,Sleep Comfort s.a.l,"17,021.28 ","20,000.00 ","2,602.43 ",2
DR-SHOW-LAZ-0002,SHOWCASE LAZERO COL GRAN,Sleep Comfort,SHOWCASE LAZERO WOOD COLOR GRANADA SPOT LIGHT INCLUDED,,Sleep Comfort s.a.l,"9,574.47 ","11,250.00 ",872.24 ,1
DR-SIDE-FLAM-0001,SIDEBOARD FLAMINGO WZEN,Sleep Comfort,SIDEBOARD FLAMINGO COLOR WENGE ZEN,,Sleep Comfort s.a.l,"9,574.47 ","11,250.00 ","1,262.47 ",2
DR-SIDE-FLAM-0002,SIDEBOARD FLAMINGO LOUIS,Sleep Comfort,SIDEBOARD FLAMINGO COLOR LOUISIANA,,Sleep Comfort s.a.l,"9,574.47 ","11,250.00 ","1,262.47 ",1
DR-SIDE-JAMA-0002,SIDEBOARD JAMAICA COL LOUIS,Sleep Comfort,SIDEBOARD JAMAICA WOOD COLOR LOUISIANA,,Sleep Comfort s.a.l,"15,957.45 ","18,750.00 ","2,401.33 ",1
DR-SIDE-LAZ-0003,SIDEBOARD LAZERO COL BERSA,Sleep Comfort,LAZERO SIDEBOARD WOOD COLOR BERSA,,Sleep Comfort s.a.l,"11,702.13 ","13,750.00 ","2,596.66 ",2
DR-SIDE-NAT-0002,SIDEBOARD NATALY COL DESIGN,Sleep Comfort,SIDEBOARD NATALY WOOD COLOR DESIGN,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,209.20 ",1
DR-SIDE-WAVE-0001,SIDEBOARD WAVE COL WNC,Sleep Comfort,SIDEBOARD WAVE COLOR W.N.C,,Sleep Comfort s.a.l,"10,638.30 ","12,500.00 ","2,189.26 ",4
DR-T-FLAM-0001,TABLE FLAMINGO WZEN,Sleep Comfort,DINING TABLE FLAMINGO COLOR WENGE ZEN SIZE 160 X 160 CM TOP SAND BLASTED GLASS,,Sleep Comfort s.a.l,"8,510.64 ","10,000.00 ","1,043.55 ",1
DR-T-FLAM-0002,TABLE FLAMINGO LOUIS,Sleep Comfort,DINING TABLE FLAMINGO COLOR LOUISIANA SIZE 160 X 160 CM TOP TABLE SAND BLASTED GLASS,,Sleep Comfort s.a.l,"8,510.64 ","10,000.00 ","1,043.55 ",1
DR-T-JAMAICA-0001,TABLE JAMAICA COL WZEN,Sleep Comfort,DINING TABLE JAMAICA WOOD COLOR WENGE ZEN SIZE 105 X 210 CM,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,521.14 ",3
DR-T-JAMAICA-0002,TABLE JAMAICA COL LOUIS,Sleep Comfort,DINING TABLE JAMAICA WOOD COLOR LOUISIANA SQUARE SIZE 140 X 140 CM,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,521.14 ",2
DR-T-LAZE-0002,TABLE LAZERO COL GRANADA,Sleep Comfort,DINING TABLE LAZERO WOOD COLOR GRANADA SIZE 110 X 252 CM 10 SEATERS,,Sleep Comfort s.a.l,"8,936.17 ","10,500.00 ","1,752.00 ",1
DR-T-LAZE-0003,TABLE LAZERO COL BERSA,Sleep Comfort,DINING TABLE LAZERO WOOD COLOR BERSA SIZE 110 X 252 CM 10 SEATERS,,Sleep Comfort s.a.l,"8,936.17 ","10,500.00 ","1,942.40 ",1
DR-T-NAT-0002,TABLE NATALY COL DESIGN,Sleep Comfort,DINING TABLE NATALY WOOD COLOR DESIGN EXTENDABLE TABLE FOR 8 OR 10 SEATERS,,Sleep Comfort s.a.l,"7,659.57 ","9,000.00 ",817.83 ,1
DR-T-VIVA-0001,ROUND TABLE VIVA COL WZEN,Sleep Comfort,BREAKFAST TABLE VIVA WOOD COLOR WENGE ZEN ROUND 140 CM DIAM,,Sleep Comfort s.a.l,"6,382.98 ","7,500.00 ",854.26 ,1
DR-T-VIVA-0003,DINING TABLE VIVA 140 CM,Sleep Comfort,DINING TABLE VIVA SIZE 140 CM COLOR AK 7,,,"8,000.00 ","9,400.00 ","1,207.50 ",1
INTER-14M2-01,MOVYis3,Interstuhl,"MOVYIS3 TASK CHAIR WITH SYNCHRO MECHANISM, SEAT IN FABRIC NORA BLACK, BACKREST BLACK MESH, BLACK BASE AND SEAT/BACK SHELL, SEAT DEPTH- AND LUMBAR SUPPORT ADJUSTMENT, HEIGHT ADJUSTABLE ARMRESTS, SOFT WHEELS.",,Interstuhl,"4,170.21 ","4,900.00 ",941.80 ,2
INTER-2406-01,YOUNICO PRO,Interstuhl,"YOUNICO PRO TASK CHAIR, LOW BACK, SYNCHRO MECHANISM, SEAT DEPTH- AND SEAT INCLINATION ADJUSTMENT, SEAT AND BACK LUCIA FABRIC BORDEAUX, ALU POLISHED BASE LOOP FIX ARMREST, SOFT WHEELS",,Interstuhl,"2,510.64 ","2,950.00 ",510.00 ,1
INTER-362S-01,SILVER,Interstuhl,"SILVER, HIGH BACK EXECUTIVE SWIVEL ARMCHAIR, SEAT AND BACK BLACK EXCLUSIVE LEATHER, SEAT AND BACK SHELL AND BASE IN ALU BRUSHED FINISH, SYNCHRO MECHANISM, SOFT CASTORS.",,Interstuhl,"29,361.70 ","34,500.00 ","10,500.00 ",1
INTER-3C72-01,AIRPAD,Interstuhl,"AIRPAD, SWIVEL CHAIR, HIGH BACK WITH HEADREST, SEAT IN LUCIA FABRIC BALCK, BACKREST BLACK MEMBRANE MESH, ALU POLISHED BASE, SEAT DEPTH- AND LUMBAR SUPPORT ADJUSTMENT, 2-D ADJUSTABLE ARMRESTS, SOFT CASTORS.",,Interstuhl,"8,297.87 ","9,750.00 ","1,700.00 ",29
INTER-3C72-02,AIRPAD,Interstuhl,"AIRPAD, SWIVEL CHAIR, HIGH BACK WITH HEADREST, SEAT IN LUCIA FABRIC BLACK, BACKREST AND HEADREST WHITE MEMBRANE MESH, ALU POLISHED BASE, SEAT DEPTH- AND LUMBAR SUPPORT ADJUSTMENT, 2-D ADJUSTABLE ARMRESTS, SOFT CASTORS.",,Interstuhl,"8,297.87 ","9,750.00 ",0.00 ,1
INTER-46M0-01,MOVYis3,Interstuhl,"MOVYIS3, 4 LEG SEMINAR CHAIR ON GLIDES, STACKABLE, SEAT AND BACK IN NORA FABRIC BLACK, SEAT SHELL AND LEGS IN WHITE.",,Interstuhl,"1,744.68 ","2,050.00 ",395.00 ,14
INTER-46M0-02,MOVYis3,Interstuhl,"MOVYIS3, 4- LEG SEMINAR CHAIR ON GLIDES, STACKABLE, SEAT AND BACK IN LUCIA FABRIC GREY, SEAT SHELL AND LEGS IN BLACK, SOFT GLIDES.",,Interstuhl,"1,744.68 ","2,050.00 ",395.00 ,4
INTER-550H-01,HERO,Interstuhl,"HERO VISITOR CHAIR, SEAT IN BLACK LUCIA, BACKREST IN DARK GREY LUCIA, FRAME IN BLACK, WITH GLIDES FOR HARD FLOORS.",,Interstuhl,"2,382.98 ","2,800.00 ",550.00 ,4
INTER-550H-02,HERO,Interstuhl,"HERO VISITOR CHAIR, SEAT AND BACKREST IN BLACK LUCIA, FRAME IN BLACK, WITH GLIDES FOR HARD FLOORS.",,Interstuhl,"2,382.98 ","2,800.00 ",550.00 ,1
INTER-550H-03,HERO,Interstuhl,"HERO VISITOR CHAIR, SEAT AND BACKREST IN WHITE LUCIA, FRAME IN BLACK, WITH GLIDES FOR HARD FLOORS.",,Interstuhl,"2,382.98 ","2,800.00 ",550.00 ,6
INTER-56M0-01,MOVYis3,Interstuhl,"MOVYIS3 VISITOR CHAIR ON BLACK CANTILEVER FRAME, BLACK SHELL, SEAT AND BACK FABRIC NORA RED, SOFT GLIDES",,Interstuhl,"1,744.68 ","2,050.00 ",406.00 ,2
INTER-5F50-02,FAMOS,Interstuhl,"FAMOS GUEST CHAIR ON CANTILEVER FRAME, CHROMED, SEAT AND BACK WHITE PVC LEATHER, SOFT GLIDES.",,Interstuhl,"2,382.98 ","2,800.00 ",595.00 ,2
INTER-5W50-01,PIOS,Interstuhl,"PIOS, GUEST CHAIR, FULL MESH FOR SEAT AND BACK IN BLACK COLOUR, CANTILEVER FRAME IN BLACK COLOUR/WITH GLIDES FOR HARD FLOORS.",,Interstuhl,"2,382.98 ","2,800.00 ",488.00 ,2
INTER-FI01-01,FIT,Interstuhl,"FIT LOUNGE AND RELAX CHAIR, BLACK MESH, ON GLIDES.",,Interstuhl,"4,255.32 ","5,000.00 ",0.00 ,3
KB-ARCTIC-01,ARCTIC BOWL,Kosta Boda / Orrefors,ARCTIC BOWL,,KOSTA BODA - Orrefors,851.06 ,"1,000.00 ",185.00 ,3
KB-ARCTIC-02,ARCTIC VASE,Kosta Boda / Orrefors,ARCTIC VASE,,KOSTA BODA - Orrefors,"1,276.60 ","1,500.00 ",278.00 ,3
KB-ARMAD-02,ARMADILLO BOWL LARGE,Kosta Boda / Orrefors,ARMADILLO BOWL LARGE,,KOSTA BODA - Orrefors,808.51 ,950.00 ,185.00 ,1
KB-ATOLLDISH-01,ATOLL DISH,Kosta Boda / Orrefors,ATOLL DISH,,KOSTA BODA - Orrefors,936.17 ,"1,100.00 ",225.00 ,3
